;university;match;latitude;longitude
120;UC Berkeley;0.193181818182;0;0
121;University of Pennsylvania;0.19512195122;0;0
122;Illinois;0.2;0;0
123;Rizvi College of Architecture;0.2;0;0
124;university of wisconsin/la crosse;0.2;0;0
125;Universidad de Costa Rica;0.2;0;0
126;U of Vermont;0.2;0;0
127;Tufts;0.2;0;0
128;NYU;0.205128205128;0;0
129;School of the Arts;0.210526315789;0;0
130;Washington University in St. Louis;0.214285714286;0;0
131;William and Mary;0.214285714286;0;0
132;Univ of Pennsylvania;0.214285714286;0;0
133;Rutgers University - New Brunswick;0.214285714286;0;0
134;University of Tennessee;0.214285714286;0;0
135;Engineering;0.214285714286;0;0
136;University of California at Santa Barbara;0.214285714286;0;0
137;Bucknell University;0.217391304348;0;0
138;Kunitachi College of Music (in Japan);0.222222222222;0;0
139;Biological Sciences;0.222222222222;0;0
140;Univ of New Mexico;0.222222222222;0;0
141;Jesus and Mary College;0.222222222222;0;0
142;University of Cologne;0.227272727273;0;0
143;LUISS;0.227272727273;0;0
144;Georgetown;0.227272727273;0;0
145;Florida International University;0.233333333333;0;0
146;Columbia College;0.237288135593;0;0
147;RPI;0.238095238095;0;0
148;UNLV;0.238095238095;0;0
149;Harvey Mudd College (Physics);0.238095238095;0;0
150;CSUN;0.25;0;0
151;Notre Dame;0.25;0;0
152;Univeristy of Barcelona;0.25;0;0
153;Smith College;0.254237288136;0;0
154;Swarthmore College;0.266666666667;0;0
155;washington university in st louis;0.266666666667;0;0
156;University of Washington;0.266666666667;0;0
157;Yale;0.267441860465;0;0
158;Texas State University;0.272727272727;0;0
159;University of Genova;0.272727272727;0;0
160;Ecole Normale Sup´è__rieure;0.272727272727;0;0
161;Cornell;0.272727272727;0;0
162;California State University Los Angeles;0.272727272727;0;0
163;Tufts University;0.276595744681;0;0
164;Univ. of Bombay;0.277777777778;0;0
165;GW;0.277777777778;0;0
166;ecole polytechnique;0.277777777778;0;0
167;ucla;0.277777777778;0;0
168;Case Western Reserve University;0.285714285714;0;0
169;Washington U. in St. Louis;0.285714285714;0;0
170;Amherst College;0.291666666667;0;0
171;Texas A&M;0.3;0;0
172;Cambridge University;0.3;0;0
173;Universidad de Chile;0.318181818182;0;0
174;Bocconi University Milan;0.333333333333;0;0
175;Boston College;0.333333333333;0;0
176;harvard;0.333333333333;0;0
177;Bombay;0.333333333333;0;0
178;Fu Jen Catholic University;0.333333333333;0;0
179;Yale University;0.333333333333;0;0
180;University of North Carolina at Charlotte;0.333333333333;-77;27
181;University of Chicago;0.333333333333;-84;33
182;Cagliari - Italy;0.333333333333;11;33
183;Princeton;0.357142857143;-71;32
184;Holy Cross;0.357142857143;-67;34
185;Loyola College;0.363636363636;90;12
186;Bowdoin College;0.368421052632;-65;36
187;University of Oregon;0.368421052632;-117;34
188;warsaw university;0.4;24;43
189;Universidad de los Andes;0.4;-67;5
190;Columbia University;0.418604651163;-71;33
191;Mary Baldwin College;0.421052631579;-69;33
192;Oberlin College;0.428571428571;-77;32
193;Augustana College;0.444444444444;-85;33
194;Loyola College in Maryland;0.444444444444;-71;31
195;tufts;0.466666666667;-66;34
196;Monash University - Australia;0.5;147;-32
197;Ecole Polytechnique (France);0.5;5;40
198;school of social sciences in uruguay;0.555555555556;-40;-21
199;Yeshiva University;0.666666666667;-71;33
